session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
619f82473dc8400748e61a35,60e36e6ecb9f00e7b4dab92e,RETURNED,2021-11-25 12:32:13.464000,,337647.621964,66,354,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
619f828db2281cb682954b9c,6154973c69da7c97996a19f6,AWAITING REVIEW,2021-11-25 12:34:04.056000,2021-11-25 13:12:03.743000,2279.687,23,199,0,100,,E11857CB,United States,United States,Unemployed (and job seeking),White,English,United States,Female,No
619f82ada86e28cb9925790d,5f517ddee960a93daa69b8bb,RETURNED,2021-11-25 12:34:27.891000,,337513.275491,23,527,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
619f82c7e19f0bfb297c056e,610c8f2f8b57224462b6ea5a,AWAITING REVIEW,2021-11-25 12:34:25.140000,2021-11-25 13:31:39.160000,3434.02,62,255,3,98,,E11857CB,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
619f830e07c1019fac8bee63,5eb087ed7f6d1e1232690d6a,AWAITING REVIEW,2021-11-25 12:35:42.387000,2021-11-25 13:34:34.016000,3531.629,61,793,0,100,,E11857CB,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
619f8320e1ba89ecb6175da3,5ebc74759921f30c68adcc7a,AWAITING REVIEW,2021-11-25 12:35:59.185000,2021-11-25 13:05:02.927000,1743.742,52,361,0,100,,E11857CB,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
619f835fa86e28cb99257916,5cf5134c8f8ff80019e76721,AWAITING REVIEW,2021-11-25 12:36:47.831000,2021-11-25 13:12:37.001000,2149.17,48,1782,1,100,,E11857CB,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
619f83640548e06f75650ba5,5dd5db1ded7ea4574c7bc996,RETURNED,2021-11-25 12:36:55.980000,,337365.352066,27,1049,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
619f8365bcfcea61936f5497,61255c5cd3dc2cfd8fbc101d,AWAITING REVIEW,2021-11-25 12:36:59.635000,2021-11-25 13:46:46.595000,4186.96,71,332,0,100,,E11857CB,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Male,No
619f836d7b9ad6cebc7ae0fb,5bdcd88176d6d50001bc3849,AWAITING REVIEW,2021-11-25 12:37:04.328000,2021-11-25 13:06:23.321000,1758.993,56,1412,1,100,,E11857CB,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Male,No
619f83830fde8e653363fc2a,5fb3cb99e76cea00085d02c6,RETURNED,2021-11-25 12:37:30.039000,,337331.384765,69,625,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
619f8384d7793749b0db0af3,614662c1c31697525616534f,AWAITING REVIEW,2021-11-25 12:37:26.897000,2021-11-25 12:55:26.470000,1079.573,59,255,3,99,,E11857CB,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Male,No
619f8394d9047ba2b51f1172,5ba292385301b80001c71ba2,AWAITING REVIEW,2021-11-25 12:37:48.498000,2021-11-25 12:53:35.376000,946.878,48,2873,4,100,,E11857CB,United States,United States,Full-Time,White,English,United States,Male,No
619f839891331a2f948ac0b0,5feea1dceae5431a85b1fe1e,AWAITING REVIEW,2021-11-25 12:37:52.003000,2021-11-25 13:31:27.615000,3215.612,29,619,2,100,,E11857CB,United States,United States,Full-Time,Asian,Chinese,United States,Male,No
619f839ceac02164ffa324bd,5d5745ed182f9f001900a33e,AWAITING REVIEW,2021-11-25 12:37:48.085000,2021-11-25 13:13:10.759000,2122.674,64,118,0,100,,E11857CB,United States,United States,Full-Time,White,English,Ireland,Male,Yes
619f84019a94e9fff72dcd49,616c1cc2510fe9022f6577f8,AWAITING REVIEW,2021-11-25 12:39:32.154000,2021-11-25 13:01:30.184000,1318.03,52,170,0,100,,E11857CB,United Kingdom,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United Kingdom,Male,No
619f847089834eeabf874cd5,5d88dcb723dfcc00151fd043,RETURNED,2021-11-25 12:41:25.767000,,337095.856823,61,1604,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
619f848fbcfcea61936f54a8,5bf412a805d7260001f5247f,TIMED-OUT,2021-11-25 12:41:58.645000,,337063.010955,74,644,1,100,,,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
619f849d53b36722da694bd5,5e51c83155087a204d8e7f1f,RETURNED,2021-11-25 12:53:00.056000,,336401.629352,75,431,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
619f84b5f4f54f713bcdc87d,60f728553a37102574b585c4,AWAITING REVIEW,2021-11-25 12:42:32.029000,2021-11-25 13:07:47.899000,1515.87,67,249,1,100,,E11857CB,United States,United States,Full-Time,White,English,United States,Female,No
619f84f45c583cf1d10167f7,61703ca576617c62ddc24fee,AWAITING REVIEW,2021-11-25 12:43:37.897000,2021-11-25 13:43:09.597000,3571.7,34,24,0,100,,E11857CB,Ghana,United States,Unemployed (and job seeking),Other,English,Ghana,Female,Yes
619f8508c01bcfce017c95da,5bbf523d83f9790001ce549a,RETURNED,2021-11-25 12:44:04.340000,,336937.435549,59,290,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
619f855cc3c743fd26891125,59e7477e3e4b5a00016aa4d2,AWAITING REVIEW,2021-11-25 12:45:24.348000,2021-11-25 13:20:48.725000,2124.377,56,1383,2,100,,E11857CB,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
619f8578b8800b6d5c09874d,6144b917c0bc37aa260c0f43,AWAITING REVIEW,2021-11-25 12:45:52.856000,2021-11-25 13:16:53.406000,1860.55,29,126,1,99,,E11857CB,India,United States,Full-Time,Asian,English,India,Male,No
619f859207e5103c976367c9,5fd0ed3ee993330172b0b97a,AWAITING REVIEW,2021-11-25 12:46:14.089000,2021-11-25 13:19:16.951000,1982.862,70,744,6,99,,E11857CB,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
619f859534d920ebc47b0eba,5dd352c51c219b35931aefd1,AWAITING REVIEW,2021-11-25 12:46:13.869000,2021-11-25 14:00:34.449000,4460.58,57,1606,4,100,,E11857CB,United States,United States,Full-Time,White,English,United States,Female,No
619f85aa1a19bba61bb7f931,5d19281012e152001920227f,AWAITING REVIEW,2021-11-25 12:46:34.128000,2021-11-25 13:19:05.064000,1950.936,33,428,2,100,,E11857CB,United States,United States,Full-Time,Asian,English,United States,Male,No
619f86235ef418e637914341,5eb24b26f30ede1a6ae46c14,AWAITING REVIEW,2021-11-25 12:48:38.663000,2021-11-25 13:52:42.942000,3844.279,23,1399,2,100,,E11857CB,United States,United States,Full-Time,White,English,United States,Male,Yes
619f863432999a10f936c954,5eceed79840590300f53fa51,AWAITING REVIEW,2021-11-25 12:48:55.976000,2021-11-25 13:18:09.557000,1753.581,27,247,1,100,,E11857CB,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
619f864249d3e22e94e6ff0e,5bcc60b95c2b810001dc68e2,AWAITING REVIEW,2021-11-25 12:49:09.394000,2021-11-25 13:20:44.374000,1894.98,26,1113,17,97,,E11857CB,United States,United States,Full-Time,White,English,United States,Male,No
619f8651a6fa923388cad611,5d7cde267ec29c001af05507,AWAITING REVIEW,2021-11-25 12:49:28.569000,2021-11-25 13:33:12.150000,2623.581,74,1016,14,95,,E11857CB,United States,United States,Part-Time,Mixed,English,United States,Female,No
619f8674b5a0b87c3ca488f6,5da7c6ecd11d560015a3d1da,AWAITING REVIEW,2021-11-25 12:50:16.283000,2021-11-25 13:27:15.600000,2219.317,24,191,4,98,,E11857CB,United States,United States,Unemployed (and job seeking),Black,English,United States,Male,No
619f867de9c093df111c5000,546e3778fdf99b2bc7ebcff6,AWAITING REVIEW,2021-11-25 12:50:05.489000,2021-11-25 13:51:06.593000,3661.104,74,2181,8,100,,E11857CB,United States,United States,Other,White,English,United States,Female,No
